study_id,first_author,year,journal,dataset,dataset_size,n_classes,task_type,qml_method,n_qubits,n_layers,hardware_type,hardware_platform,error_mitigation,classical_baseline,qml_accuracy,classical_accuracy,delta_accuracy,balanced_acc_qml,balanced_acc_classical,auroc_qml,auroc_classical,train_split,val_split,test_split,code_available,probast_participant,probast_predictor,probast_outcome,probast_analysis,overall_risk,notes
S01,Sebastianelli,2021,IEEE JSTARS,HAM10000,10015,7,multiclass,VQC,4,4,Simulator,PennyLane,None,EfficientNet-B0,76.3,87.2,-10.9,65.1,76.8,0.891,0.951,0.7,0.15,0.15,No,High,Low,Low,High,High,"First HAM10000 QML study; 4-qubit VQC vs fine-tuned CNN"
S02,Kadian,2021,CS Review,ISIC2016,1279,2,binary,Quantum-SVM,6,NA,Simulator,Qiskit,None,Classical SVM,82.1,91.4,-9.3,80.2,89.7,0.871,0.941,0.8,0.1,0.1,No,High,Low,Low,High,High,"Quantum kernel SVM on binary ISIC 2016"
S03,Chen,2022,QIP,HAM10000,10015,7,multiclass,VQC+TransferLearning,12,8,Simulator,PennyLane,None,EfficientNet-B5,86.1,92.0,-5.9,76.4,81.3,0.932,0.975,0.8,0.1,0.1,Yes,High,Low,Low,High,High,"Quantum transfer learning; ResNet-34 features fed to 12-qubit VQC"
S04,Gonzalez-Garcia,2022,JMAI,PH2,200,3,multiclass,VQC,8,6,Real,IBM-Q,ZNE,EfficientNet-B4,79.4,94.7,-15.3,70.1,85.2,0.841,0.971,0.7,0.15,0.15,No,High,High,Low,High,High,"Real IBM-Q hardware; small dataset; significant hardware noise impact"
S05,Li,2022,Front Physics,ISIC2019,25331,8,multiclass,QCNN,10,6,Simulator,Qiskit,None,InceptionResNetV2,83.7,93.1,-9.4,73.8,83.6,0.901,0.962,0.7,0.15,0.15,No,High,Low,Low,High,High,"Quantum CNN applied to ISIC 2019 8-class task"
S06,Li,2022,QIP,ISIC2016,1279,2,binary,Quantum-kernel,6,NA,Simulator,PennyLane,None,ResNet-50,84.2,88.9,-4.7,82.1,87.3,0.891,0.931,0.8,0.1,0.1,No,High,Low,Low,High,High,"Quantum kernel methods for dermoscopic analysis"
S07,Wang,2023,QST,HAM10000,10015,7,multiclass,DataReupload-VQC,16,10,Simulator,PennyLane,None,EfficientNet-B5,89.4,94.7,-5.3,78.6,85.9,0.962,0.984,0.8,0.1,0.1,Yes,Moderate,Low,Low,High,Moderate,"Best simulator result; data re-uploading significantly improves VQC expressivity"
S08,Kim,2023,TNNLS,HAM10000,10015,7,multiclass,QuantumAttention,14,8,Simulator,PennyLane,None,Swin-Base,88.2,95.8,-7.6,77.4,87.2,0.951,0.987,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Quantum attention mechanism; compared against Swin-Base"
S09,Zeng,2023,QIP,ISIC2019,25331,8,multiclass,QKernel-SVM,8,NA,Simulator,PennyLane,None,Classical RBF-SVM,84.9,93.4,-8.5,74.2,83.9,0.911,0.961,0.7,0.15,0.15,No,High,Low,Low,High,High,"Variational quantum kernel training; SVM classifier"
S10,Luo,2024,TBME,HAM10000,10015,7,multiclass,VQC,16,20,Real,IBM-Eagle,ZNE,Swin-Large+DiffAug,83.7,96.3,-12.6,71.2,88.4,0.941,0.989,0.8,0.1,0.1,No,High,High,Low,High,High,"Best real-hardware result (2024); IBM Eagle 16-qubit; ZNE error mitigation"
